"objectid","datarel","confirmed","deaths","recovered"
1,2020-03-11,3,0,0
1,2020-03-12,5,0,0
1,2020-03-13,6,0,0
1,2020-03-14,7,0,0
1,2020-03-15,10,0,0
1,2020-03-16,13,0,0
1,2020-03-17,14,0,0
1,2020-03-18,2,0,0
1,2020-03-19,2,0,0
1,2020-03-20,2,0,0
1,2020-03-21,3,0,0
1,2020-03-22,5,0,0
1,2020-03-23,5,0,0
1,2020-03-24,6,0,0
1,2020-03-25,12,0,0
1,2020-03-26,20,0,0
1,2020-03-27,30,0,0
1,2020-03-28,34,0,0
2,2020-03-08,1,0,0
2,2020-03-09,2,0,0
2,2020-03-10,2,0,0
2,2020-03-11,3,0,0
2,2020-03-12,5,0,0
2,2020-03-13,6,0,0
2,2020-03-14,7,0,0
2,2020-03-15,10,0,0
2,2020-03-16,13,0,0
2,2020-03-17,14,0,0
2,2020-03-18,21,0,0
2,2020-03-19,25,0,0
2,2020-03-20,29,1,0
2,2020-03-21,31,1,0
2,2020-03-22,35,1,0
2,2020-03-23,42,1,0
2,2020-03-24,46,1,0
2,2020-03-25,62,1,0
2,2020-03-26,89,1,0
2,2020-03-27,99,1,0
2,2020-03-28,106,1,0
3,2020-03-03,1,0,0
3,2020-03-04,1,0,0
3,2020-03-05,1,0,0
3,2020-03-06,1,0,0
3,2020-03-07,1,0,0
3,2020-03-08,1,0,0
3,2020-03-09,1,0,0
3,2020-03-10,2,0,0
3,2020-03-11,3,0,0
3,2020-03-12,5,0,0
3,2020-03-13,6,0,0
3,2020-03-14,8,0,0
3,2020-03-15,10,0,0
3,2020-03-16,31,0,0
3,2020-03-17,51,0,0
3,2020-03-18,74,0,0
3,2020-03-19,86,1,0
3,2020-03-20,106,2,0
3,2020-03-21,137,4,0
3,2020-03-22,180,4,0
3,2020-03-23,238,5,7
3,2020-03-24,293,11,8
3,2020-03-25,365,10,8
3,2020-03-26,435,13,8
3,2020-03-27,520,18,10
3,2020-03-28,647,28,10
4,2020-03-03,1,0,0
4,2020-03-04,2,0,0
4,2020-03-05,3,0,0
4,2020-03-06,4,0,0
4,2020-03-07,5,0,0
4,2020-03-08,6,0,0
4,2020-03-09,9,0,0
4,2020-03-10,10,0,0
4,2020-03-11,17,0,0
4,2020-03-12,23,0,0
4,2020-03-13,99,5,0
4,2020-03-14,73,0,0
4,2020-03-15,116,0,0
4,2020-03-16,142,0,0
4,2020-03-17,180,1,0
4,2020-03-18,243,2,0
4,2020-03-19,278,2,0
4,2020-03-20,364,2,0
4,2020-03-21,448,3,0
4,2020-03-22,534,4,0
4,2020-03-23,737,8,4
4,2020-03-24,852,8,11
4,2020-03-25,992,12,11
4,2020-03-26,1082,18,11
4,2020-03-27,1110,24,17
4,2020-03-28,1287,27,17
5,2020-03-03,2,0,0
5,2020-03-04,3,0,0
5,2020-03-05,5,0,0
5,2020-03-06,8,0,0
5,2020-03-07,15,0,0
5,2020-03-08,22,0,0
5,2020-03-09,27,0,0
5,2020-03-10,27,0,0
5,2020-03-11,36,0,0
5,2020-03-12,44,0,0
5,2020-03-13,53,0,1
5,2020-03-14,77,0,0
5,2020-03-15,103,0,0
5,2020-03-16,138,0,0
5,2020-03-17,196,0,0
5,2020-03-18,289,0,0
5,2020-03-19,381,0,0
5,2020-03-20,506,1,0
5,2020-03-21,644,4,0
5,2020-03-22,825,5,0
5,2020-03-23,1007,9,3
5,2020-03-24,1130,9,3
5,2020-03-25,1517,20,3
5,2020-03-26,1858,28,3
5,2020-03-27,2443,33,16
5,2020-03-28,3035,44,16
6,2020-03-15,1,0,0
6,2020-03-16,1,0,0
6,2020-03-17,1,0,0
6,2020-03-18,3,0,0
6,2020-03-19,3,0,0
6,2020-03-20,3,0,0
6,2020-03-21,3,0,0
6,2020-03-22,4,0,0
6,2020-03-23,11,0,0
6,2020-03-24,12,1,0
6,2020-03-25,17,0,0
6,2020-03-26,24,0,0
6,2020-03-27,24,0,0
6,2020-03-28,30,0,0
8,2020-03-18,1,0,0
8,2020-03-19,1,0,0
8,2020-03-20,1,0,0
8,2020-03-21,5,0,0
8,2020-03-22,7,0,0
8,2020-03-23,9,0,0
8,2020-03-24,11,0,0
8,2020-03-25,16,0,0
8,2020-03-26,15,0,0
8,2020-03-27,21,0,0
8,2020-03-28,31,0,0
